"address_id";"address";"city";"postal_code";"latitude";"longitude"
218;"20 RTE DES CHAMPS";"THIERVILLE";"27290";49.2531;0.709664
221;"13 RUE DE LA DOLVE";"TOURS";"37000";47.3893;0.687735
222;"13 RUE PONTCOTTIER";"BOURGOIN-JALLIEU";"38300";45.5851;5.28139
223;"29 RUE DE BOD AVEL";"LOCMINE";"56500";47.8916;-2.84241
224;"4 RUE FERME";"VENDOME";"41100";47.7896;1.06726
225;"27 RUE DU MOULIN DAVID";"LE GUE D ALLERE";"17540";46.1924;-0.866361
226;"207 CHE DES ECOLES";"BIZONNES";"38690";45.4534;5.3794
227;"49 RUE DU VAL";"PROVINS";"77160";48.5605;3.29755
228;"32 RUE DE BEAUFORT";"PLERGUER";"35540";48.5252;-1.84448
229;"9 CHE DES COMBES";"LE POUGET";"34230";43.5911;3.51851
230;"4 CITE BEL AIR";"ETAPLES";"62630";50.5222;1.62854
231;"2 RTE DE CHAMPIGNY";"TINQUEUX";"51430";49.2536;3.98746
232;"30 RTE DES COMBES";"VAUJANY";"38114";45.1554;6.08019
233;"3 RUE PRAIRIAL";"CHENOVE";"21300";47.2865;5.00558
235;"185 ALL DE L'OPPIDUM";"DIVONNE-LES-BAINS";"1220";46.3646;6.14911
236;"20 RUE DU PROFESSEUR POZZI";"PERIGUEUX";"24000";45.1793;0.730222
237;"16 RUE DU CLAPAS";"CEBAZAN";"34360";43.4049;2.97531
238;"2 PL DE L'EGLISE";"IVRY-SUR-SEINE";"94200";0.0;0.0
239;"16 QUAI DES MARINIERS";"NEMOURS";"77140";48.2632;2.69453
240;"12 RUE DES MUES";"SION LES MINES";"44590";47.7358;-1.59699
241;"35 RUE DE L ETANG";"FEUCHEROLLES";"78810";48.8724;1.97001
242;"88 AV DE LA PLAGE";"BENODET";"29950";47.8752;-4.11206
243;"15 AV ARISTIDE BRIAND";"MONTESSON";"78360";48.9052;2.14533
244;"4 AV DE CARTHAGE";"AIX EN PROVENCE";"13100";43.5272;5.43741
246;"13 RUE DE NAUDIN";"CONDE LES HERPY";"8360";0.0;0.0
247;"248 RUE DE LA FICAUDIERE";"PORNIC";"44210";47.1326;-2.1158
248;"21 RUE PASTEUR";"BOULOGNE SUR MER";"62200";50.8224;1.59424
249;"32 RUE BASFROI";"PARIS 11";"75011";48.8552;2.37919
250;"32 RUE DES ORMEAUX";"PARIS 20";"75020";48.8512;2.40024
251;"6 SQ FONTAINE BELLERIE";"BEAUVAIS";"60000";49.4148;2.07172
252;"6 RUE DES PENSEES";"GOUSSAINVILLE";"95190";49.0268;2.46989
253;"5 RUE VICTOR HUGO";"REUGNY";"37380";47.4816;0.884831
255;"18 RUE DE BESANCON";"PONTARLIER";"25300";46.9068;6.35039
256;"317 RUE BAIXA DA BANHEIRA";"PLAISIR";"78370";48.8171;1.96302
257;"13 RUE DE MONTFLEURY";"SARCELLES";"95200";48.9925;2.38043
258;"61 RUE GAMBETTA";"LA ROCHELLE";"17000";46.1618;-1.14635
259;"20 RUE DU GENERAL LECLERC";"PERENCHIES";"59840";50.6682;2.9733
260;"73 RUE JEAN BONAL";"LA GARENNE-COLOMBES";"92250";48.9054;2.24428
261;"18 IMP DE LA CLOTTE";"BERAT";"31370";43.369;1.1659
262;"55 RUE VANEAU";"PARIS 07";"75007";48.8507;2.31968
263;"9 RUE JULES GREVY";"ROMILLY SUR SEINE";"10100";48.516;3.73121
264;"7 RUE DE BRAM";"LOUHANS";"71500";46.6276;5.21673
265;"61 RUE SAINT DIZIER";"NANCY";"54000";48.6908;6.18244
266;"13 PL DE TRION";"LYON 5EME";"69005";0.0;0.0
267;"31 ALL DU LUXEMBOURG";"LE MANS";"72000";48.0198;0.20806
268;"32 RUE DES PYRENEES";"LOURDES";"65100";43.0931;-0.0496532
269;"6 RUE ERNEST RENAN";"FITZ JAMES";"60600";49.3902;2.41441
270;"5386 RLE SAINT JEAN";"BASSE POINTE";"97218";14.8693;-61.115
271;"3 RUE D ORMESSON";"DEUIL LA BARRE";"95170";48.9669;2.31742
273;"1 RUE DU NOROIT";"BELFORET-EN-PERCHE";"61130";48.3715;0.574046
275;"178 CLOS LES PRIMEVERES";"VIUZ-EN-SALLAZ";"74250";46.1489;6.41367
277;"24 RUE DU HAUT MONT";"ARCHETTES";"88380";48.1262;6.53608
279;"2 SEN MEREVILLE";"CHESSY";"77700";48.8782;2.76928
280;"101 ALL DES GLYCINES";"LA GARDE";"83130";43.1248;5.99396
281;"2 PL DE LA LIBERATION";"BANNALEC";"29380";47.9325;-3.69756
283;"18 AV CHARLES DE GAULLE";"LE BLANC-MESNIL";"93150";48.9445;2.46662
284;"16 RUE DES FOUGERES";"BRETTE LES PINS";"72250";47.9154;0.331726
285;"5 RUE VAUTHIER";"BOULOGNE-BILLANCOURT";"92100";48.8456;2.2396
286;"1 RUE DES ECOLES";"ST-LON-LES-MINES";"40300";43.612;-1.12806
287;"7 RUE RABELAIS";"NARBONNE";"11100";43.1825;3.00071
288;"83 AV FRANCOIS MITTERAND";"CHATEAUROUX";"36000";0.0;0.0
289;"136 BD DE LA PAIX";"VANNES";"56000";47.6588;-2.74864
290;"8 RUE DAGOBERT";"CLICHY";"92110";48.9025;2.3056
291;"29 RTE DE LA THIBAUDIERE TERVES";"BRESSUIRE";"79300";46.8212;-0.506073
292;"4 RUE DE PLOMB";"TENAY";"1230";45.9169;5.5094
293;"40 RUE ITSAS ONDO";"URRUGNE";"64122";43.3854;-1.69347
294;"2 RUE DE LA GUEULE DU FOUR";"BRETIGNOLLES-SUR-MER";"85470";46.6233;-1.87105
295;"2 RUE DU COLONEL FABIEN";"ROMILLY SUR SEINE";"10100";48.5107;3.72258
296;"14 RUE JULES FERRY";"MERIGNAC";"33700";44.8194;-0.617403
297;"42 RUE AMBROISE CROIZAT";"VILLEJUIF";"94800";48.802;2.36189
298;"6 RUE ELYSEE BENAVENQ";"COURNONTERRAL";"34660";43.5638;3.70682
299;"22 RUE RAISIN";"SAINT-ETIENNE";"42000";45.4415;4.39032
300;"10 RUE DE LA PERRINE";"VATAN";"36150";0.0;0.0
301;"27 RUE DU SOUVENIR";"THUIR";"66300";42.6341;2.75465
302;"23 RUE PUEBLA";"PERIGUEUX";"24000";45.1883;0.708563
303;"31 RUE GENERAL MORAND";"PERIGUEUX";"24000";45.1859;0.729334
304;"17 BD BELLES MANIERES";"MONTARGIS";"45200";47.9944;2.73478
306;"83 RUE DE LA GARE";"PLUVIGNER";"56330";47.7696;-3.01785
307;"9 RUE MAL LECLERC";"LE BONO";"56400";47.6386;-2.94624
308;"1 CHE DES BUISSONNETS";"LISIEUX";"14100";49.1507;0.228362
309;"2 PL SAINT JEAN";"LYON 5EME";"69005";0.0;0.0
310;"23 RUE BARATIER";"ARGENTEUIL";"95100";48.9371;2.23226
311;"34 RUE DU GAL F. LEON ORMANCEY";"VILLERON";"95380";0.0;0.0
312;"34 AV DE FOIX";"VARILHES";"9120";43.0417;1.62448
313;"6 RUE DU BOIS DE CLAQUET";"MONDEVILLE";"14120";49.1761;-0.303168
314;"73 RUE CARNOT";"SAUJON";"17600";45.6729;-0.926053
315;"9001 RES LES JARDINS OCCITANS";"RAMONVILLE ST AGNE";"31520";0.0;0.0
316;"10 RUE DE LA FORET";"CAMBOUNES";"81260";43.5858;2.4415
317;"23 CHE BARRIEU";"BLAGNAC";"31700";43.6401;1.39638
318;"4 RUE FERNAND SABATTE";"CHAMIGNY";"77260";48.9731;3.15361
319;"69 AV VICTOR HUGO";"LE BOUSCAT";"33110";44.8633;-0.590205
320;"37 ALL DES DAMES";"TOURNON-SUR-RHONE";"7300";45.0592;4.83595
321;"2 RUE COLETTE";"TOULOUSE";"31200";43.6329;1.43717
322;"235 AV LE JOUR SE LEVE";"BOULOGNE-BILLANCOURT";"92100";48.8344;2.25789
323;"9100 RUE DU PDS DE LA FARINE";"PRADES";"66500";0.0;0.0
324;"181 AV COSTA DE BEAUREGARD";"LA MOTTE SERVOLEX";"73290";45.596;5.87838
325;"21 RUE DU MAL LATTRE DE TASSIGNY";"SAULCY-SUR-MEURTHE";"88580";0.0;0.0
326;"6 RUE BRAULT";"ANGERS";"49100";47.4711;-0.568506
327;"67 RUE DE LA PLAINE";"ROQUEFORT";"47310";44.1875;0.567688
328;"489 RUE DE CAEN";"IFS";"14123";49.1569;-0.345385
329;"84 RUE ST JACQUES";"NANTES";"44200";47.1962;-1.53829
330;"152 CHE TISNE";"ARGAGNON";"64300";43.4676;-0.687772
331;"37 RUE DU TEMPLE";"LA ROCHELLE";"17000";46.1585;-1.15331
332;"4 RUE D ARGOAT";"PLOUVORN";"29420";48.578;-4.04763
333;"25 RUE PIERRE DE COUBERTIN";"SAINT-PORCHAIRE";"17250";45.8224;-0.776119
